Designatie;d;D;B;C [N];C0 [N];Cu [N];Limiting speed;Reference speed;e;Y1;Y2;Y0
24072-BEA-XL-MB1;360;540;180;3650;6600;550000;1040;570;0,3;2,23;3,32;2,18
23172-BEA-XL-MB1;360;600;192;4550;7100;495000;1040;560;0,31;2,18;3,24;2,13
24172-BE-XL;360;600;243;5600;9100;660000;890;350;0,4;1,69;2,52;1,65
24172-BE-XL-K30;360;600;243;5600;9100;660000;890;350;0,4;1,69;2,52;1,65
22272-BEA-XL-K-MB1;360;650;170;4450;6200;485000;1190;710;0,25;2,69;4;2,63
22272-BEA-XL-MB1;360;650;170;4450;6200;485000;1190;710;0,25;2,69;4;2,63
23272-BEA-XL-MB1;360;650;232;5700;8900;610000;930;430;0,36;1,9;2,83;1,86
23976-K-MB;380;520;106;1780;4000;265000;1340;750;0,19;3,58;5,33;3,5
23976-MB;380;520;106;1780;4000;265000;1340;750;0,19;3,58;5,33;3,5
23076-BEA-XL-MB1;380;560;135;2900;5000;410000;1230;740;0,21;3,17;4,72;3,1
24076-BEA-XL-MB1;380;560;180;3750;7000;590000;990;530;0,29;2,33;3,47;2,28
23176-BEA-XL-MB1;380;620;194;4700;7600;530000;990;530;0,3;2,25;3,34;2,2
24176-BE-XL;380;620;243;5800;9700;710000;850;325;0,38;1,76;2,62;1,72
24176-BE-XL-K30;380;620;243;5800;9700;710000;850;325;0,38;1,76;2,62;1,72
23276-BEA-XL-MB1;380;680;240;6200;9600;660000;890;400;0,35;1,92;2,86;1,88
23980-B-K-MB;400;540;106;1830;4150;270000;1290;710;0,18;3,71;5,52;3,63
23980-B-MB;400;540;106;1830;4150;270000;1290;710;0,18;3,71;5,52;3,63
23080-BEA-XL-MB1;400;600;148;3400;5700;465000;1150;690;0,22;3,07;4,57;3
24080-BEA-XL-MB1;400;600;200;4500;8100;660000;920;495;0,3;2,23;3,32;2,18
23180-BEA-XL-MB1;400;650;200;5000;8100;570000;950;495;0,29;2,3;3,42;2,25
24180-BE-XL;400;650;250;6200;10600;760000;800;300;0,37;1,82;2,7;1,78
24180-BE-XL-K30;400;650;250;6200;10600;760000;800;300;0,37;1,82;2,7;1,78
23280-BEA-XL-MB1;400;720;256;7000;10900;730000;820;370;0,36;1,9;2,83;1,86
23984-K-MB;420;560;106;1910;4450;300000;1230;660;0,18;3,85;5,73;3,76
23984-MB;420;560;106;1910;4450;300000;1230;660;0,18;3,85;5,73;3,76
23084-BEA-XL-K-MB1;420;620;150;3650;6300;510000;1090;650;0,21;3,17;4,72;3,1
23084-BEA-XL-MB1;420;620;150;3650;6300;510000;1090;650;0,21;3,17;4,72;3,1
24084-BEA-XL-K30-MB1;420;620;200;4600;8500;710000;890;465;0,29;2,32;3,45;2,26
24084-BEA-XL-MB1;420;620;200;4600;8500;710000;890;465;0,29;2,32;3,45;2,26
23184-BEA-XL-K-MB1;420;700;224;6000;9600;650000;860;455;0,31;2,18;3,24;2,13
23184-BEA-XL-MB1;420;700;224;6000;9600;650000;860;455;0,31;2,18;3,24;2,13
24184-BE-XL;420;700;280;7400;12600;860000;720;270;0,39;1,72;2,56;1,68
24184-BE-XL-K30;420;700;280;7400;12600;860000;720;270;0,39;1,72;2,56;1,68
23284-BEA-XL-K-MB1;420;760;272;7800;12300;800000;770;340;0,36;1,89;2,81;1,84
23284-BEA-XL-MB1;420;760;272;7800;12300;800000;770;340;0,36;1,89;2,81;1,84
23988-K-MB;440;600;118;2230;5200;295000;1130;620;0,18;3,66;5,46;3,58
23988-MB;440;600;118;2230;5200;295000;1130;620;0,18;3,66;5,46;3,58
23088-BEA-XL-K-MB1;440;650;157;3950;6900;550000;1030;610;0,21;3,17;4,72;3,1
23088-BEA-XL-MB1;440;650;157;3950;6900;550000;1030;610;0,21;3,17;4,72;3,1
24088-BEA-XL-K30-MB1;440;650;212;5100;9500;760000;830;435;0,29;2,3;3,42;2,25
24088-BEA-XL-MB1;440;650;212;5100;9500;760000;830;435;0,29;2,3;3,42;2,25
23188-BEA-XL-K-MB1;440;720;226;6200;10200;680000;820;430;0,3;2,25;3,34;2,2
23188-BEA-XL-MB1;440;720;226;6200;10200;680000;820;430;0,3;2,25;3,34;2,2
24188-BE-XL;440;720;280;7600;12900;910000;710;260;0,38;1,78;2,65;1,74
24188-BE-XL-K30;440;720;280;7600;12900;910000;710;260;0,38;1,78;2,65;1,74
23288-BEA-XL-K-MB1;440;790;280;8300;13200;860000;730;320;0,35;1,91;2,85;1,87
23288-BEA-XL-MB1;440;790;280;8300;13200;860000;730;320;0,35;1,91;2,85;1,87
24892-B-MB;460;580;118;1940;5100;330000;1020;325;0,18;3,76;5,59;3,67
23992-B-K-MB;460;620;118;2270;5400;370000;1080;590;0,18;3,85;5,73;3,76
23992-B-MB;460;620;118;2270;5400;370000;1080;590;0,18;3,85;5,73;3,76
23092-BEA-XL-K-MB1;460;680;163;4300;7500;590000;980;580;0,21;3,17;4,72;3,1
23092-BEA-XL-MB1;460;680;163;4300;7500;590000;980;580;0,21;3,17;4,72;3,1
24092-BEA-XL-K30-MB1;460;680;218;5500;10200;820000;800;410;0,29;2,33;3,47;2,28
24092-BEA-XL-MB1;460;680;218;5500;10200;820000;800;410;0,29;2,33;3,47;2,28
23192-BEA-XL-K-MB1;460;760;240;6900;11500;740000;770;395;0,31;2,21;3,29;2,16
23192-BEA-XL-MB1;460;760;240;6900;11500;740000;770;395;0,31;2,21;3,29;2,16
24192-BEA-XL-K30-MB1;460;760;300;8500;14500;1000000;660;241;0,38;1,76;2,62;1,72
24192-BEA-XL-MB1;460;760;300;8500;14500;1000000;660;241;0,38;1,76;2,62;1,72
23292-BEA-XL-K-MB1;460;830;296;9200;14700;930000;690;295;0,36;1,9;2,83;1,86
23292-BEA-XL-MB1;460;830;296;9200;14700;930000;690;295;0,36;1,9;2,83;1,86
24896-MB;480;600;118;2000;5400;360000;980;305;0,17;3,9;5,81;3,81
23996-B-K-MB;480;650;128;2550;6000;460000;1040;570;0,18;3,76;5,59;3,67
23996-B-MB;480;650;128;2550;6000;460000;1040;570;0,18;3,76;5,59;3,67
23096-BEA-XL-K-MB1;480;700;165;4450;8000;620000;950;550;0,21;3,27;4,87;3,2
23096-BEA-XL-MB1;480;700;165;4450;8000;620000;950;550;0,21;3,27;4,87;3,2
24096-BEA-XL-K30-MB1;480;700;218;5600;10700;860000;770;385;0,28;2,43;3,61;2,37
24096-BEA-XL-MB1;480;700;218;5600;10700;860000;770;385;0,28;2,43;3,61;2,37
23196-BEA-XL-K-MB1;480;790;248;7400;12400;790000;740;375;0,3;2,23;3,32;2,18
23196-BEA-XL-MB1;480;790;248;7400;12400;790000;740;375;0,3;2,23;3,32;2,18
24196-BEA-XL-K30-MB1;480;790;308;9000;15500;1070000;640;227;0,38;1,79;2,67;1,75
24196-BEA-XL-MB1;480;790;308;9000;15500;1070000;640;227;0,38;1,79;2,67;1,75
23296-BEA-XL-K-MB1;480;870;310;10000;16200;1010000;650;275;0,36;1,9;2,83;1,86
23296-BEA-XL-MB1;480;870;310;10000;16200;1010000;650;275;0,36;1,9;2,83;1,86
248/500-B-MB;500;620;118;2070;5700;265000;930;290;0,17;4;5,96;3,91
239/500-K-MB;500;670;128;2600;6300;400000;990;540;0,17;3,9;5,81;3,81
239/500-MB;500;670;128;2600;6300;400000;990;540;0,17;3,9;5,81;3,81
230/500-BEA-XL-K-MB1;500;720;167;4700;8700;750000;890;510;0,21;3,24;4,82;3,16
230/500-BEA-XL-MB1;500;720;167;4700;8700;750000;890;510;0,21;3,24;4,82;3,16
240/500-BEA-XL-K30-MB1;500;720;218;5700;11100;900000;750;370;0,27;2,51;3,74;2,45
240/500-BEA-XL-MB1;500;720;218;5700;11100;900000;750;370;0,27;2,51;3,74;2,45
231/500-BEA-XL-K-MB1;500;830;264;8300;13900;860000;690;350;0,31;2,2;3,27;2,15
231/500-BEA-XL-MB1;500;830;264;8300;13900;860000;690;350;0,31;2,2;3,27;2,15
241/500-BEA-XL-K30-MB1;500;830;325;10000;17300;1160000;600;209;0,38;1,78;2,65;1,74
241/500-BEA-XL-MB1;500;830;325;10000;17300;1160000;600;209;0,38;1,78;2,65;1,74
232/500-BEA-XL-K-MB1;500;920;336;11300;18000;1110000;610;260;0,37;1,83;2,72;1,79
232/500-BEA-XL-MB1;500;920;336;11300;18000;1110000;610;260;0,37;1,83;2,72;1,79
248/530-B-MB;530;650;118;2240;6400;370000;880;260;0,16;4,22;6,29;4,13
239/530-MB;530;710;136;2850;6900;385000;930;500;0,18;3,85;5,73;3,76
230/530-BEA-XL-MB1;530;780;185;5600;10100;860000;820;475;0,22;3,1;4,62;3,03
240/530-BEA-XL-K30-MB1;530;780;250;7000;13500;1040000;670;335;0,29;2,33;3,47;2,28
240/530-BEA-XL-MB1;530;780;250;7000;13500;1040000;670;335;0,29;2,33;3,47;2,28
231/530-BEA-XL-MB1;530;870;272;8900;15000;940000;660;325;0,3;2,25;3,34;2,2
241/530-BEA-XL-MB1;530;870;335;10700;19100;1260000;560;190;0,37;1,83;2,72;1,79
232/530-K-MB;530;980;355;10900;20900;1190000;570;230;0,38;1,77;2,64;1,73
232/530-MB;530;980;355;10900;20900;1190000;570;230;0,38;1,77;2,64;1,73
248/560-B-MB;560;680;118;2210;6300;390000;840;250;0,15;4,47;6,65;4,37
239/560-B-MB;560;750;140;3100;7600;520000;880;465;0,17;3,95;5,88;3,86
230/560-BEA-XL-MB1;560;820;195;6100;11200;930000;760;440;0,22;3,1;4,62;3,03
240/560-BEA-XL-K30-MB1;560;820;258;7500;14600;1120000;630;315;0,28;2,39;3,56;2,34
240/560-BEA-XL-MB1;560;820;258;7500;14600;1120000;630;315;0,28;2,39;3,56;2,34
231/560-BEA-XL-MB1;560;920;280;9700;16400;1030000;630;300;0,29;2,32;3,45;2,26
241/560-BEA-XL-MB1;560;920;355;12000;21000;1410000;530;177;0,37;1,83;2,72;1,79
232/560-K-MB;560;1030;365;11700;22600;910000;540;215;0,38;1,78;2,65;1,74
232/560-MB;560;1030;365;11700;22600;910000;540;215;0,38;1,78;2,65;1,74
238/600-K-MB;600;730;98;1960;5300;350000;980;435;0,12;5,78;8,61;5,65
238/600-MB;600;730;98;1960;5300;350000;980;435;0,12;5,78;8,61;5,65
248/600-B-MB;600;730;128;2550;7300;440000;780;228;0,15;4,4;6,56;4,31
239/600-B-MB;600;800;150;3450;8600;630000;810;430;0,17;3,95;5,88;3,86
230/600-BEA-XL-MB1;600;870;200;6600;12300;1020000;710;405;0,21;3,24;4,82;3,16
240/600-BEA-XL-K30-MB1;600;870;272;8300;16600;1240000;580;285;0,28;2,41;3,59;2,35
240/600-BEA-XL-MB1;600;870;272;8300;16600;1240000;580;285;0,28;2,41;3,59;2,35
231/600-MB;600;980;300;9000;19200;810000;560;270;0,31;2,2;3,27;2,15
241/600-B-MB;600;980;375;11600;26000;1780000;480;149;0,38;1,79;2,67;1,75
232/600-B-K-MB;600;1090;388;13000;25500;1720000;495;196;0,37;1,83;2,72;1,79
