Designatie;d;D;B;C [N];C0 [N];Cu [N];Limiting speed;Reference speed;e;Y1;Y2;Y0
240/900-B-MB;900;1280;375;14200;36500;2220000;365;155;0,28;2,45;3,64;2,39
231/900-B-K-MB;900;1420;412;18000;40500;2550000;365;149;0,29;2,33;3,47;2,28
231/900-B-MB;900;1420;412;18000;40500;2550000;365;149;0,29;2,33;3,47;2,28
241/900-B-FB1;900;1420;515;22300;53000;2900000;310;81;0,35;1,91;2,85;1,87
241/900-B-K30-FB1;900;1420;515;22300;53000;2900000;310;81;0,35;1,91;2,85;1,87
248/950-MB;950;1150;200;5700;18500;1030000;430;114;0,15;4,4;6,56;4,31
239/950-B-K-MB;950;1250;224;7500;19900;1280000;475;239;0,16;4,22;6,29;4,13
239/950-B-MB;950;1250;224;7500;19900;1280000;475;239;0,16;4,22;6,29;4,13
249/950-B-K30-MB;950;1250;300;10300;28500;1700000;385;101;0,22;3,01;4,48;2,94
249/950-B-MB;950;1250;300;10300;28500;1700000;385;101;0,22;3,01;4,48;2,94
230/950-B-K-MB;950;1360;300;12300;29500;1800000;425;218;0,22;3,14;4,67;3,07
230/950-B-MB;950;1360;300;12300;29500;1800000;425;218;0,22;3,14;4,67;3,07
240/950-B-K30-MB;950;1360;412;16200;42000;2550000;335;142;0,28;2,37;3,53;2,32
240/950-B-MB;950;1360;412;16200;42000;2550000;335;142;0,28;2,37;3,53;2,32
241/950-B-K30-MB;950;1500;545;23700;54000;3100000;300;81;0,36;1,87;2,79;1,83
241/950-B-MB;950;1500;545;23700;54000;3100000;300;81;0,36;1,87;2,79;1,83
238/1000-K-MB;1000;1220;165;4900;14900;960000;510;231;0,12;5,72;8,51;5,59
238/1000-MB;1000;1220;165;4900;14900;960000;510;231;0,12;5,72;8,51;5,59
248/1000-B-MB;1000;1220;218;6700;21500;1210000;405;104;0,16;4,28;6,37;4,19
249/1000-B-K30-MB;1000;1320;315;11400;31000;1850000;370;95;0,22;3,01;4,48;2,94
249/1000-B-MB;1000;1320;315;11400;31000;1850000;370;95;0,22;3,01;4,48;2,94
230/1000-K-MB;1000;1420;308;13100;31500;1580000;405;206;0,21;3,2;4,77;3,13
230/1000-MB;1000;1420;308;13100;31500;1580000;405;206;0,21;3,2;4,77;3,13
240/1000-B-K30-MB;1000;1420;412;16400;42000;2550000;330;138;0,28;2,41;3,59;2,35
240/1000-B-MB;1000;1420;412;16400;42000;2550000;330;138;0,28;2,41;3,59;2,35
231/1000-B-K-MB;1000;1580;462;22000;51000;3150000;320;126;0,29;2,33;3,47;2,28
231/1000-B-MB;1000;1580;462;22000;51000;3150000;320;126;0,29;2,33;3,47;2,28
241/1000-B-K30-MB;1000;1580;580;27500;64000;3950000;275;70;0,35;1,91;2,85;1,87
241/1000-B-MB;1000;1580;580;27500;64000;3950000;275;70;0,35;1,91;2,85;1,87
238/1060-B-K-MB;1060;1280;165;5100;16100;980000;480;213;0,11;6,18;9,2;6,04
238/1060-B-MB;1060;1280;165;5100;16100;980000;480;213;0,11;6,18;9,2;6,04
248/1060-B-MB;1060;1280;218;7000;22700;1270000;385;97;0,15;4,54;6,75;4,43
239/1060-K-MB1;1060;1400;250;9900;26000;1420000;420;202;0,17;4,05;6,04;3,96
239/1060-MB1;1060;1400;250;9900;26000;1420000;420;202;0,17;4,05;6,04;3,96
249/1060-B-K30-MB;1060;1400;335;12900;36000;2240000;345;84;0,21;3,17;4,72;3,1
249/1060-B-MB;1060;1400;335;12900;36000;2240000;345;84;0,21;3,17;4,72;3,1
230/1060-B-MB;1060;1500;325;13700;34000;2110000;375;193;0,2;3,38;5,03;3,3
240/1060-B-K30-MB;1060;1500;438;18800;49500;2950000;295;122;0,27;2,47;3,67;2,41
240/1060-B-MB;1060;1500;438;18800;49500;2950000;295;122;0,27;2,47;3,67;2,41
248/1120-B-MB;1120;1360;243;8000;26000;1460000;365;90;0,15;4,47;6,65;4,37
249/1120-B-K30-MB;1120;1460;335;12800;35500;2180000;340;83;0,21;3,27;4,87;3,2
249/1120-B-MB;1120;1460;335;12800;35500;2180000;340;83;0,21;3,27;4,87;3,2
230/1120-B-MB;1120;1580;345;14900;37500;2250000;350;181;0,2;3,42;5,09;3,34
240/1120-B-K30-MB;1120;1580;462;20900;55000;3250000;280;113;0,28;2,45;3,64;2,39
240/1120-B-MB;1120;1580;462;20900;55000;3250000;280;113;0,28;2,45;3,64;2,39
238/1180-B-K-MB;1180;1420;180;6000;19200;1110000;430;187;0,11;6,18;9,2;6,04
238/1180-B-MB;1180;1420;180;6000;19200;1110000;430;187;0,11;6,18;9,2;6,04
248/1180-B-MB;1180;1420;243;8400;28000;1540000;335;83;0,15;4,54;6,75;4,43
239/1180-B-K-MB;1180;1540;272;11300;31000;1770000;370;177;0,17;4,05;6,04;3,96
239/1180-B-MB;1180;1540;272;11300;31000;1770000;370;177;0,17;4,05;6,04;3,96
249/1180-B-K30-MB;1180;1540;355;14700;42000;2400000;305;73;0,22;3,14;4,67;3,07
249/1180-B-MB;1180;1540;355;14700;42000;2400000;305;73;0,22;3,14;4,67;3,07
230/1180-B-MB;1180;1660;355;16600;42000;2470000;330;166;0,21;3,27;4,87;3,2
248/1250-B-MB;1250;1500;250;9000;30500;1220000;320;76;0,14;4,67;6,96;4,57
249/1250-B-K30-MB;1250;1630;375;16000;45500;2700000;295;69;0,21;3,24;4,82;3,16
249/1250-B-MB;1250;1630;375;16000;45500;2700000;295;69;0,21;3,24;4,82;3,16
230/1250-B-K-MB;1250;1750;375;18100;46500;2700000;310;154;0,2;3,34;4,98;3,27
230/1250-B-MB;1250;1750;375;18100;46500;2700000;310;154;0,2;3,34;4,98;3,27
248/1320-B-MB;1320;1600;280;10300;35000;1900000;295;71;0,15;4,4;6,56;4,31
249/1320-B-K30-MB;1320;1720;400;17600;52000;2370000;265;62;0,22;3,1;4,62;3,03
249/1320-B-MB;1320;1720;400;17600;52000;2370000;265;62;0,22;3,1;4,62;3,03
248/1400-B-MB;1400;1700;300;12100;41000;2220000;270;63;0,16;4,34;6,47;4,25
248/1500-B-MB;1500;1820;315;13000;44500;2380000;255;58;0,15;4,47;6,65;4,37
248/1600-B-MB;1600;1950;345;16000;54000;3000000;240;51;0,15;4,54;6,75;4,43
248/1700-MB;1700;2060;355;17100;60000;2850000;218;46;0,15;4,47;6,65;4,37
248/1800-B-MB;1800;2180;375;18700;67000;3400000;201;42;0,15;4,47;6,65;4,37
